Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,ubChO,exf6,True,e5f6,428 cp,0.671,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
2,ubChO,exf6,True,e5f6,434 cp,0.674,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
3,ubChO,exf6,True,e5f6,440 cp,0.676,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
4,ubChO,exf6,True,e5f6,435 cp,0.674,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
5,ubChO,exf6,True,e5f6,440 cp,0.676,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
6,ubChO,exf6,True,e5f6,441 cp,0.676,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
7,ubChO,exf6,True,e5f6,442 cp,0.677,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
8,ubChO,exf6,True,e5f6,443 cp,0.677,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
9,ubChO,exf6,True,e5f6,442 cp,0.677,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
10,ubChO,exf6,True,e5f6,440 cp,0.676,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
11,ubChO,exf6,True,e5f6,441 cp,0.676,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
12,ubChO,exf6,True,e5f6,434 cp,0.674,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
13,ubChO,exf6,True,e5f6,448 cp,0.679,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
14,ubChO,exf6,True,e5f6,444 cp,0.678,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
15,ubChO,exf6,True,e5f6,459 cp,0.684,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
16,ubChO,exf6,True,e5f6,444 cp,0.678,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
17,ubChO,exf6,True,e5f6,436 cp,0.674,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
18,ubChO,exf6,True,e5f6,443 cp,0.677,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
19,ubChO,exf6,True,e5f6,443 cp,0.677,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
20,ubChO,exf6,True,e5f6,447 cp,0.679,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
21,ubChO,exf6,True,e5f6,439 cp,0.676,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
22,ubChO,exf6,True,e5f6,436 cp,0.674,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
23,ubChO,exf6,True,e5f6,441 cp,0.676,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
24,ubChO,exf6,True,e5f6,456 cp,0.682,r2qk2r/pp2bpp1/2np1n1p/2p1P3/2P2B2/2NP1b2/PP2B1PP/R2Q1RK1 w kq - 0 11,0.7,0.4,1000
