Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qxd7,True,d5d7,-541 cp,0.229
openai/gpt-4.1-mini,2,Qxd8,False,,,0.0
openai/gpt-4.1-mini,3,Qxf7,True,d5f7,32 cp,0.516
openai/gpt-4.1-mini,4,Qxf7,True,d5f7,35 cp,0.517
openai/gpt-4.1-mini,5,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,6,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,7,Qxf7,True,d5f7,34 cp,0.517
openai/gpt-4.1-mini,8,Qxf7,True,d5f7,30 cp,0.515
openai/gpt-4.1-mini,9,Qxf7,True,d5f7,41 cp,0.52
openai/gpt-4.1-mini,10,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,11,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,12,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,13,Qh5,True,d5h5,-640 cp,0.18
openai/gpt-4.1-mini,14,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,15,Qxf7,True,d5f7,32 cp,0.516
openai/gpt-4.1-mini,16,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,17,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,18,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,19,Qxd7,True,d5d7,-554 cp,0.223
openai/gpt-4.1-mini,20,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,21,Qxd8,False,,,0.0
openai/gpt-4.1-mini,22,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,23,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,24,Qxf7,True,d5f7,46 cp,0.523
openai/gpt-4.1-mini,25,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,26,Qxd8,False,,,0.0
openai/gpt-4.1-mini,27,Nxf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,28,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,29,Qxf7,True,d5f7,39 cp,0.519
openai/gpt-4.1-mini,30,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,31,Qxf7,True,d5f7,32 cp,0.516
