Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,2,Nxf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,3,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,4,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,6,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,7,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,8,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,9,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-686 cp,0.157
google/gemini-2.5-flash-lite,11,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,12,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,15,Qf3,False,,,0.0
google/gemini-2.5-flash-lite,16,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,18,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,19,Rxe8,False,,,0.0
google/gemini-2.5-flash-lite,20,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,21,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,22,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,25,Rxe7,False,,,0.0
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-662 cp,0.169
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,29,Nhf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,30,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,32,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,33,Qd3,True,d5d3,43 cp,0.521
google/gemini-2.5-flash-lite,34,Rxe8,False,,,0.0
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,36,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,37,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,38,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,41,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,42,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-683 cp,0.158
google/gemini-2.5-flash-lite,44,Qh5,True,d5h5,-678 cp,0.161
google/gemini-2.5-flash-lite,45,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,46,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,47,Nhf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,48,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,50,Qd3,True,d5d3,47 cp,0.523
google/gemini-2.5-flash-lite,51,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,52,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,53,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,54,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,55,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,56,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,57,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,58,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,60,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,61,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,62,Qf5,True,d5f5,367 cp,0.683
google/gemini-2.5-flash-lite,63,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,64,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,65,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,66,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,67,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,68,Qf5,True,d5f5,353 cp,0.676
google/gemini-2.5-flash-lite,69,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,70,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,71,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,72,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,73,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,74,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,75,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,76,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,77,Qd3,True,d5d3,52 cp,0.526
google/gemini-2.5-flash-lite,78,Qh5,True,d5h5,-690 cp,0.155
google/gemini-2.5-flash-lite,79,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,80,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,81,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,82,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,83,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,84,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,85,Nhf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,86,Qe5,True,d5e5,270 cp,0.635
google/gemini-2.5-flash-lite,87,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,88,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,89,Qh5,True,d5h5,-686 cp,0.157
google/gemini-2.5-flash-lite,90,Qh5,True,d5h5,-663 cp,0.168
google/gemini-2.5-flash-lite,91,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,92,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,93,Nhf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,94,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,95,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,96,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,97,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,98,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,99,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,100,Qh5,True,d5h5,-684 cp,0.158
,,,,,,
=== Summary Statistics ===,,,,,,
Average Normalized Value,,,,,0.24,
Standard Deviation,,,,,0.292,
Mean Absolute Error (from 0.5),,,,,0.377,
Illegal Moves (%),,,,,23.00%,
Mean Value (Legal Moves Only),,,,,0.311,
