Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qxh7,True,h6h7,-579 cp,0.211
openai/gpt-4.1-mini,2,Qxh7,True,h6h7,-561 cp,0.219
openai/gpt-4.1-mini,3,Qxh7,True,h6h7,-559 cp,0.22
openai/gpt-4.1-mini,4,Qxh7,True,h6h7,-584 cp,0.208
openai/gpt-4.1-mini,5,Qxh7,True,h6h7,-584 cp,0.208
openai/gpt-4.1-mini,6,Qxh7,True,h6h7,-569 cp,0.216
openai/gpt-4.1-mini,7,Qxh7,True,h6h7,-575 cp,0.213
openai/gpt-4.1-mini,8,Qxh7,True,h6h7,-567 cp,0.217
openai/gpt-4.1-mini,9,Qxh7,True,h6h7,-577 cp,0.212
openai/gpt-4.1-mini,10,Qxh7,True,h6h7,-578 cp,0.211
openai/gpt-4.1-mini,11,Qxh7,True,h6h7,-563 cp,0.219
openai/gpt-4.1-mini,12,Qxh7,True,h6h7,-576 cp,0.212
openai/gpt-4.1-mini,13,Qxh7,True,h6h7,-579 cp,0.211
openai/gpt-4.1-mini,14,Qxh7,True,h6h7,-570 cp,0.215
openai/gpt-4.1-mini,15,Qxh7,True,h6h7,-583 cp,0.209
openai/gpt-4.1-mini,16,Qxh7,True,h6h7,-584 cp,0.208
openai/gpt-4.1-mini,17,Qxh7,True,h6h7,-541 cp,0.229
openai/gpt-4.1-mini,18,Qxh7,True,h6h7,-560 cp,0.22
openai/gpt-4.1-mini,19,Qxh7,True,h6h7,-577 cp,0.212
openai/gpt-4.1-mini,20,Qxh7,True,h6h7,-575 cp,0.213
openai/gpt-4.1-mini,21,Qxh7,True,h6h7,-552 cp,0.224
openai/gpt-4.1-mini,22,Qxh7,True,h6h7,-566 cp,0.217
openai/gpt-4.1-mini,23,Qxh7,True,h6h7,-572 cp,0.214
openai/gpt-4.1-mini,24,Qxh7,True,h6h7,-572 cp,0.214
openai/gpt-4.1-mini,25,Qxh7,True,h6h7,-572 cp,0.214
openai/gpt-4.1-mini,26,Qxh7,True,h6h7,-564 cp,0.218
openai/gpt-4.1-mini,27,Qxh7,True,h6h7,-573 cp,0.214
