Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-657 cp,0.329
google/gemini-2.5-flash-lite,2,Nf7,True,h6f7,593 cp,0.796
google/gemini-2.5-flash-lite,3,Qh5,True,d5h5,-655 cp,0.328
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-647 cp,0.324
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-643 cp,0.322
google/gemini-2.5-flash-lite,6,Qh5,True,d5h5,-626 cp,0.313
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-616 cp,0.308
google/gemini-2.5-flash-lite,8,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,9,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,10,Qxh6,False,,,0.0
google/gemini-2.5-flash-lite,11,Qh5,True,d5h5,-621 cp,0.31
google/gemini-2.5-flash-lite,12,Qh5,True,d5h5,-613 cp,0.306
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-619 cp,0.309
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-616 cp,0.308
google/gemini-2.5-flash-lite,15,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,16,Qh5,True,d5h5,-628 cp,0.314
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-623 cp,0.311
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-633 cp,0.317
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-646 cp,0.323
google/gemini-2.5-flash-lite,20,Qh5,True,d5h5,-627 cp,0.314
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-634 cp,0.317
google/gemini-2.5-flash-lite,22,Qh5,True,d5h5,-630 cp,0.315
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-624 cp,0.312
google/gemini-2.5-flash-lite,24,Rxe7,False,,,0.0
google/gemini-2.5-flash-lite,25,g7,False,,,0.0
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-628 cp,0.314
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-637 cp,0.319
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-626 cp,0.313
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-627 cp,0.314
google/gemini-2.5-flash-lite,30,Qxh7,False,,,0.0
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-627 cp,0.314
google/gemini-2.5-flash-lite,32,Qh5,True,d5h5,-625 cp,0.312
google/gemini-2.5-flash-lite,33,Qh5,True,d5h5,-634 cp,0.317
google/gemini-2.5-flash-lite,34,Qh5,True,d5h5,-640 cp,0.32
