Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-657 cp,0.171
google/gemini-2.5-flash-lite,2,Qh5,True,d5h5,-642 cp,0.179
google/gemini-2.5-flash-lite,3,Qh5,True,d5h5,-641 cp,0.179
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-637 cp,0.181
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-616 cp,0.192
google/gemini-2.5-flash-lite,6,Qh5,True,d5h5,-644 cp,0.178
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-615 cp,0.193
google/gemini-2.5-flash-lite,8,Qh5,True,d5h5,-627 cp,0.186
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-625 cp,0.188
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-633 cp,0.183
google/gemini-2.5-flash-lite,11,Qh5,True,d5h5,-638 cp,0.181
google/gemini-2.5-flash-lite,12,Qh5,True,d5h5,-627 cp,0.186
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-617 cp,0.192
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-633 cp,0.183
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-630 cp,0.185
google/gemini-2.5-flash-lite,16,Qh5,True,d5h5,-624 cp,0.188
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-627 cp,0.186
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-651 cp,0.174
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-635 cp,0.182
google/gemini-2.5-flash-lite,20,Qh5,True,d5h5,-629 cp,0.185
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-635 cp,0.182
google/gemini-2.5-flash-lite,22,Qh5,True,d5h5,-630 cp,0.185
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-631 cp,0.184
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-632 cp,0.184
google/gemini-2.5-flash-lite,25,Qh5,True,d5h5,-633 cp,0.183
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-640 cp,0.18
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-647 cp,0.176
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-635 cp,0.182
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-645 cp,0.177
google/gemini-2.5-flash-lite,30,Qh5,True,d5h5,-641 cp,0.179
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-648 cp,0.176
google/gemini-2.5-flash-lite,32,Qh5,True,d5h5,-651 cp,0.174
google/gemini-2.5-flash-lite,33,Qh5,True,d5h5,-655 cp,0.172
google/gemini-2.5-flash-lite,34,Qh5,True,d5h5,-650 cp,0.175
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,36,Qh5,True,d5h5,-653 cp,0.173
google/gemini-2.5-flash-lite,37,Qh5,True,d5h5,-658 cp,0.171
google/gemini-2.5-flash-lite,38,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-663 cp,0.168
google/gemini-2.5-flash-lite,41,Qh5,True,d5h5,-650 cp,0.175
google/gemini-2.5-flash-lite,42,Qh5,True,d5h5,-655 cp,0.172
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,44,Qh5,True,d5h5,-646 cp,0.177
google/gemini-2.5-flash-lite,45,Qh5,True,d5h5,-657 cp,0.171
google/gemini-2.5-flash-lite,46,Qh5,True,d5h5,-663 cp,0.168
google/gemini-2.5-flash-lite,47,Qh5,True,d5h5,-660 cp,0.17
google/gemini-2.5-flash-lite,48,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,50,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,51,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,52,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,53,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,54,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,55,Qh5,True,d5h5,-639 cp,0.18
google/gemini-2.5-flash-lite,56,Qh5,True,d5h5,-653 cp,0.173
google/gemini-2.5-flash-lite,57,Qh5,True,d5h5,-645 cp,0.177
google/gemini-2.5-flash-lite,58,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-658 cp,0.171
google/gemini-2.5-flash-lite,60,Qh5,True,d5h5,-657 cp,0.171
google/gemini-2.5-flash-lite,61,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,62,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,63,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,64,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,65,Qh5,True,d5h5,-654 cp,0.173
google/gemini-2.5-flash-lite,66,Qh5,True,d5h5,-649 cp,0.175
google/gemini-2.5-flash-lite,67,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,68,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,69,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,70,Qh5,True,d5h5,-671 cp,0.164
