# Chess Move Prediction Results with Legality & Stockfish Eval
 Model , Call # , Move , Legal , UCI , Eval 
-------,--------,------,-------,-----,------
 google/gemini-2.5-flash-lite , 1 ,  , False , None , None 
 google/gemini-2.5-flash-lite , 2 , Qh5 , True , d5h5 , -657 cp 
 google/gemini-2.5-flash-lite , 3 , Nf7 , True , h6f7 , 593 cp 
 google/gemini-2.5-flash-lite , 4 , Nf7 , True , h6f7 , Mate in 3 
 google/gemini-2.5-flash-lite , 5 ,  , False , None , None 
 google/gemini-2.5-flash-lite , 6 , Ng8 , True , h6g8 , -575 cp 
 google/gemini-2.5-flash-lite , 7 ,  , False , None , None 
 google/gemini-2.5-flash-lite , 8 , Nhf7 , True , h6f7 , Mate in 3 
 google/gemini-2.5-flash-lite , 9 ,  , False , None , None 
 google/gemini-2.5-flash-lite , 10 ,  , False , None , None 
 openai/gpt-4.1-mini , 1 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 2 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 3 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 4 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 5 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 6 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 7 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 8 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 9 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-4.1-mini , 10 , Qg8 , True , d5g8 , Mate in 1 
 openai/gpt-3.5-turbo-instruct , 1 , SE , False , None , None 
 openai/gpt-3.5-turbo-instruct , 2 , SE , False , None , None 
 openai/gpt-3.5-turbo-instruct , 3 , SE , False , None , None 
 openai/gpt-3.5-turbo-instruct , 4 , Rg8 , False , None , None 
 openai/gpt-3.5-turbo-instruct , 5 , Qe3 , False , None , None 
 openai/gpt-3.5-turbo-instruct , 6 , SE , False , None , None 
 openai/gpt-3.5-turbo-instruct , 7 , e7-e5 , False , None , None 
