Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,2,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,3,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-655 cp,0.172
google/gemini-2.5-flash-lite,6,Qh5,True,d5h5,-662 cp,0.169
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,8,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,11,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,12,Qh5,True,d5h5,-660 cp,0.17
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-657 cp,0.171
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-688 cp,0.156
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,16,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,20,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-658 cp,0.171
google/gemini-2.5-flash-lite,22,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,25,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,30,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,32,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,33,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,34,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,36,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,37,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,38,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,41,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,42,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,44,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,45,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,46,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,47,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,48,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,50,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,51,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,52,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,53,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,54,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,55,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,56,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,57,Qh5,True,d5h5,-658 cp,0.171
google/gemini-2.5-flash-lite,58,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,60,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,61,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,62,Qh5,True,d5h5,-657 cp,0.171
google/gemini-2.5-flash-lite,63,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,64,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,65,Qh5,True,d5h5,-663 cp,0.168
google/gemini-2.5-flash-lite,66,Qh5,True,d5h5,-674 cp,0.163
