Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,On8u6,Qe4,True,e2e4,277 cp,0.611,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
2,On8u6,Qe4,True,e2e4,284 cp,0.614,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
3,On8u6,Qe5,True,e2e5,-720 cp,0.212,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
4,On8u6,Qe5,True,e2e5,-813 cp,0.175,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
5,On8u6,Qe5,True,e2e5,-796 cp,0.182,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
6,On8u6,Qe4,True,e2e4,303 cp,0.621,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
7,On8u6,Qe8,False,,,0.0,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
8,On8u6,Qe4,True,e2e4,261 cp,0.604,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
9,On8u6,Qe4,True,e2e4,304 cp,0.622,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
10,On8u6,Qe5,True,e2e5,-795 cp,0.182,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
11,On8u6,Qe5,True,e2e5,-821 cp,0.172,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.7,1,1000
