Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,m3lLD,Qxh5,True,h3h5,-933 cp,0.127,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
2,m3lLD,Rxe7,True,e1e7,-114 cp,0.454,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
3,m3lLD,Rxe7,True,e1e7,-120 cp,0.452,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
4,m3lLD,Rxe7,True,e1e7,-125 cp,0.45,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
5,m3lLD,Qe8,False,,,0.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
6,m3lLD,Rxe7,True,e1e7,-111 cp,0.456,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
7,m3lLD,Rxe7,True,e1e7,-127 cp,0.449,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
8,m3lLD,Rxe7,True,e1e7,-123 cp,0.451,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
9,m3lLD,Qxe7,False,,,0.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
10,m3lLD,Rxe7,True,e1e7,-135 cp,0.446,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
11,m3lLD,Qxh5,True,h3h5,-967 cp,0.113,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
12,m3lLD,Qxh5,True,h3h5,-951 cp,0.12,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
13,m3lLD,Qxe7,False,,,0.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
14,m3lLD,Qxh5,True,h3h5,-976 cp,0.11,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
15,m3lLD,Rxe7,True,e1e7,-121 cp,0.452,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
16,m3lLD,Qe3,False,,,0.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,1,0.3,1000
