Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Nxf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,2,Qxd8,False,,,0.0
openai/gpt-4.1-mini,3,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,4,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,5,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,6,Qxf7,True,d5f7,59 cp,0.529
openai/gpt-4.1-mini,7,Qxf7,True,d5f7,56 cp,0.528
openai/gpt-4.1-mini,8,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,9,Qxf7,True,d5f7,56 cp,0.528
openai/gpt-4.1-mini,10,Qxf7,True,d5f7,46 cp,0.523
openai/gpt-4.1-mini,11,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,12,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,13,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,14,Qxd8,False,,,0.0
openai/gpt-4.1-mini,15,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,16,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,17,Qg8m,False,,,0.0
openai/gpt-4.1-mini,18,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,19,Qxf7,True,d5f7,49 cp,0.524
openai/gpt-4.1-mini,20,Nhf5,True,h6f5,-442 cp,0.279
openai/gpt-4.1-mini,21,Qxd8,False,,,0.0
openai/gpt-4.1-mini,22,Nxg4,True,h6g4,20 cp,0.51
openai/gpt-4.1-mini,23,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,24,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,25,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,26,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,27,Qf7,True,d5f7,47 cp,0.523
