Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,2,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,3,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,6,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,8,Qe2,False,,,0.0
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,11,Qd3,True,d5d3,40 cp,0.52
google/gemini-2.5-flash-lite,12,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,15,Qd3,True,d5d3,40 cp,0.52
google/gemini-2.5-flash-lite,16,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-657 cp,0.171
google/gemini-2.5-flash-lite,18,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,19,Qf3,False,,,0.0
google/gemini-2.5-flash-lite,20,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,22,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,23,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,25,Qd3,True,d5d3,49 cp,0.524
google/gemini-2.5-flash-lite,26,Qd7,True,d5d7,-555 cp,0.222
google/gemini-2.5-flash-lite,27,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,28,Qd3,True,d5d3,32 cp,0.516
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,30,Qd3,True,d5d3,45 cp,0.522
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,32,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,33,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,34,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,36,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,37,Qd3,True,d5d3,42 cp,0.521
google/gemini-2.5-flash-lite,38,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,41,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,42,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,44,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,45,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,46,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,47,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,48,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,50,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,51,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,52,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,53,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,54,Qd4,True,d5d4,460 cp,0.73
google/gemini-2.5-flash-lite,55,Qd3,True,d5d3,47 cp,0.523
google/gemini-2.5-flash-lite,56,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,57,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,58,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,60,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,61,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,62,Qxd7,True,d5d7,-568 cp,0.216
google/gemini-2.5-flash-lite,63,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,64,Rxe4,False,,,0.0
google/gemini-2.5-flash-lite,65,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,66,Qf5,True,d5f5,368 cp,0.684
google/gemini-2.5-flash-lite,67,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,68,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,69,Qf5,True,d5f5,370 cp,0.685
google/gemini-2.5-flash-lite,70,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,71,Qh5,True,d5h5,-660 cp,0.17
google/gemini-2.5-flash-lite,72,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,73,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,74,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,75,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,76,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,77,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,78,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,79,Qc4,False,,,0.0
google/gemini-2.5-flash-lite,80,Qf5,True,d5f5,369 cp,0.684
google/gemini-2.5-flash-lite,81,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,82,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,83,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,84,Qh5,True,d5h5,-663 cp,0.168
google/gemini-2.5-flash-lite,85,Qd3,True,d5d3,36 cp,0.518
google/gemini-2.5-flash-lite,86,Qc4,False,,,0.0
google/gemini-2.5-flash-lite,87,Qd3,True,d5d3,44 cp,0.522
google/gemini-2.5-flash-lite,88,Qd7,True,d5d7,-573 cp,0.214
google/gemini-2.5-flash-lite,89,Qh5,True,d5h5,-669 cp,0.165
