Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,2,Rxe7,False,,,0.0
google/gemini-2.5-flash-lite,3,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,6,Qd3,True,d5d3,31 cp,0.515
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-683 cp,0.158
google/gemini-2.5-flash-lite,8,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-683 cp,0.158
google/gemini-2.5-flash-lite,11,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,12,Rxe7,False,,,0.0
google/gemini-2.5-flash-lite,13,Bd2,False,,,0.0
google/gemini-2.5-flash-lite,14,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,15,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,16,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,17,Rfd1,False,,,0.0
google/gemini-2.5-flash-lite,18,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-686 cp,0.157
google/gemini-2.5-flash-lite,20,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,21,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,22,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,25,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,26,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,27,Qd3,True,d5d3,36 cp,0.518
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,29,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,30,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,31,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,32,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,33,Qh5,True,d5h5,-689 cp,0.156
google/gemini-2.5-flash-lite,34,Rxe8,False,,,0.0
google/gemini-2.5-flash-lite,35,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,36,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,37,Rf1,False,,,0.0
google/gemini-2.5-flash-lite,38,Qh5,True,d5h5,-683 cp,0.158
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,40,Qf5,True,d5f5,354 cp,0.677
google/gemini-2.5-flash-lite,41,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,42,Qf5,True,d5f5,364 cp,0.682
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,44,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,45,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,46,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,47,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,48,Qg5,True,d5g5,386 cp,0.693
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,50,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,51,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,52,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,53,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,54,Qh5,True,d5h5,-686 cp,0.157
google/gemini-2.5-flash-lite,55,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,56,Qe6,True,d5e6,-673 cp,0.163
google/gemini-2.5-flash-lite,57,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,58,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,60,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,61,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,62,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,63,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,64,Nf7,True,h6f7,Mate in 3,0.98
google/gemini-2.5-flash-lite,65,Qh5,True,d5h5,-694 cp,0.153
google/gemini-2.5-flash-lite,66,Qf3,False,,,0.0
google/gemini-2.5-flash-lite,67,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,68,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,69,Qf5,True,d5f5,351 cp,0.675
google/gemini-2.5-flash-lite,70,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,71,Qh5,True,d5h5,-688 cp,0.156
google/gemini-2.5-flash-lite,72,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,73,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,74,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,75,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,76,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,77,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,78,Ng4,True,h6g4,13 cp,0.506
google/gemini-2.5-flash-lite,79,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,80,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,81,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,82,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,83,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,84,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,85,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,86,Qh5,True,d5h5,-686 cp,0.157
google/gemini-2.5-flash-lite,87,Qg5,True,d5g5,412 cp,0.706
google/gemini-2.5-flash-lite,88,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,89,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,90,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,91,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,92,Qf5,True,d5f5,356 cp,0.678
google/gemini-2.5-flash-lite,93,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,94,Ng4,True,h6g4,-8 cp,0.496
google/gemini-2.5-flash-lite,95,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,96,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,97,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,98,Nd5,False,,,0.0
google/gemini-2.5-flash-lite,99,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,100,Qh5,True,d5h5,-671 cp,0.164
,,,,,,
=== Summary Statistics ===,,,,,,
Average Normalized Value,,,,,0.185,
Standard Deviation,,,,,0.237,
Mean Absolute Error (from 0.5),,,,,0.376,
Illegal Moves (%),,,,,33.00%,
Mean Value (Legal Moves Only),,,,,0.277,
