Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,m3lLD,Qd7,True,h3d7,-736 cp,0.206,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
2,m3lLD,Qxh5,True,h3h5,-915 cp,0.134,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
3,m3lLD,Qxh5,True,h3h5,-885 cp,0.146,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
4,m3lLD,Qh4,True,h3h4,-142 cp,0.443,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
5,m3lLD,Qxh5,True,h3h5,-907 cp,0.137,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
6,m3lLD,Qh4,True,h3h4,-111 cp,0.456,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
7,m3lLD,Qh4,True,h3h4,-122 cp,0.451,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
8,m3lLD,Qc8,True,h3c8,Mate in 0,1.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
9,m3lLD,Qxh5,True,h3h5,-925 cp,0.13,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
10,m3lLD,Qh4,True,h3h4,-123 cp,0.451,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
11,m3lLD,Qh4,True,h3h4,-119 cp,0.452,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
12,m3lLD,Qh4,True,h3h4,-111 cp,0.456,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
13,m3lLD,Qxh5,True,h3h5,-927 cp,0.129,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
14,m3lLD,Qc8,True,h3c8,Mate in 0,1.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
15,m3lLD,Qh4,True,h3h4,-114 cp,0.454,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
16,m3lLD,Qc8,True,h3c8,Mate in 0,1.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
17,m3lLD,Qc8,True,h3c8,Mate in 0,1.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
18,m3lLD,Qxh5,True,h3h5,-919 cp,0.132,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
19,m3lLD,Qxe7,False,,,0.0,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
20,m3lLD,Qxh5,True,h3h5,-915 cp,0.134,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
21,m3lLD,Qh4,True,h3h4,-110 cp,0.456,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
22,m3lLD,Qh4,True,h3h4,-107 cp,0.457,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
23,m3lLD,Qh4,True,h3h4,-95 cp,0.462,4k1r1/pp2rqp1/2p5/7p/3P4/2NP1P1Q/PP4PP/4R1K1 w - - 0 24,0.7,1,1000
