Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,2,Nhf5,True,h6f5,-475 cp,0.263
openai/gpt-4.1-mini,3,Qg8xg7,False,,,0.0
openai/gpt-4.1-mini,4,Nxf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,5,hxg7,False,,,0.0
openai/gpt-4.1-mini,6,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,7,Qxf7,True,d5f7,23 cp,0.511
openai/gpt-4.1-mini,8,Qxd7,True,d5d7,-570 cp,0.215
openai/gpt-4.1-mini,9,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,10,Qxf7,True,d5f7,14 cp,0.507
openai/gpt-4.1-mini,11,Qxf7,True,d5f7,15 cp,0.507
openai/gpt-4.1-mini,12,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,13,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,14,Qxd8,False,,,0.0
openai/gpt-4.1-mini,15,Qxf7,True,d5f7,0 cp,0.5
openai/gpt-4.1-mini,16,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,17,Ngf7,False,,,0.0
openai/gpt-4.1-mini,18,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,19,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,20,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,21,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,22,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,23,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,24,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,25,Qxf7,True,d5f7,11 cp,0.505
openai/gpt-4.1-mini,26,Qg8Rxg8,False,,,0.0
