Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,Evxmg,Qe4,True,d3e4,-142 cp,0.443,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
2,Evxmg,Qe4,True,d3e4,-151 cp,0.44,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
3,Evxmg,Qe4,True,d3e4,-153 cp,0.439,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
4,Evxmg,Qe4,True,d3e4,-152 cp,0.439,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
5,Evxmg,Qe4,True,d3e4,-147 cp,0.441,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
6,Evxmg,Qe4,True,d3e4,-139 cp,0.444,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
7,Evxmg,Qe4,True,d3e4,-147 cp,0.441,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
8,Evxmg,Qe4,True,d3e4,-141 cp,0.444,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
9,Evxmg,Qe4,True,d3e4,-154 cp,0.438,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
10,Evxmg,Qe4,True,d3e4,-145 cp,0.442,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
11,Evxmg,Qe4,True,d3e4,-147 cp,0.441,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
12,Evxmg,Qe4,True,d3e4,-155 cp,0.438,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
13,Evxmg,Qe4,True,d3e4,-149 cp,0.44,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
14,Evxmg,Qe4,True,d3e4,-158 cp,0.437,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
15,Evxmg,Qe4,True,d3e4,-147 cp,0.441,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
16,Evxmg,Qe4,True,d3e4,-139 cp,0.444,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
17,Evxmg,Qd6,True,d3d6,-658 cp,0.237,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
18,Evxmg,Qe4,True,d3e4,-161 cp,0.436,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
19,Evxmg,Qe4,True,d3e4,-135 cp,0.446,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
20,Evxmg,Qe4,True,d3e4,-140 cp,0.444,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
21,Evxmg,Qe4,True,d3e4,-156 cp,0.438,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
22,Evxmg,Qe4,True,d3e4,-147 cp,0.441,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
23,Evxmg,Qe4,True,d3e4,-144 cp,0.442,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
24,Evxmg,Qe4,True,d3e4,-149 cp,0.44,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
25,Evxmg,Qe4,True,d3e4,-131 cp,0.448,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
26,Evxmg,Qe4,True,d3e4,-140 cp,0.444,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
27,Evxmg,Qe4,True,d3e4,-133 cp,0.447,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
28,Evxmg,Qe4,True,d3e4,-142 cp,0.443,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
29,Evxmg,Qe4,True,d3e4,-147 cp,0.441,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
30,Evxmg,Qd6,True,d3d6,-678 cp,0.229,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
31,Evxmg,Qe4,True,d3e4,-131 cp,0.448,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.1,0.3,1000
