Model,Call#,Move,Legal,UCI,Eval,Normalized
openai/gpt-4.1-mini,1,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,2,Qxf7,True,d5f7,41 cp,0.52
openai/gpt-4.1-mini,3,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,4,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,5,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,6,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,7,Nxg4,True,h6g4,-9 cp,0.495
openai/gpt-4.1-mini,8,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,9,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,10,Qxf7,True,d5f7,46 cp,0.523
openai/gpt-4.1-mini,11,Qxf7,True,d5f7,46 cp,0.523
openai/gpt-4.1-mini,12,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,13,Qxf7,True,d5f7,52 cp,0.526
openai/gpt-4.1-mini,14,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,15,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,16,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,17,Nxg4,True,h6g4,-12 cp,0.494
openai/gpt-4.1-mini,18,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,19,Qxf7,True,d5f7,57 cp,0.528
openai/gpt-4.1-mini,20,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,21,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,22,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,23,Qxf7,True,d5f7,43 cp,0.521
openai/gpt-4.1-mini,24,Nf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,25,Nxf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,26,Nhf5,True,h6f5,-464 cp,0.268
openai/gpt-4.1-mini,27,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,28,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,29,Qxf7,True,d5f7,40 cp,0.52
openai/gpt-4.1-mini,30,Qxf7,True,d5f7,50 cp,0.525
openai/gpt-4.1-mini,31,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,32,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,33,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,34,Qxf7,True,d5f7,51 cp,0.525
openai/gpt-4.1-mini,35,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,36,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,37,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,38,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,39,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,40,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,41,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,42,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,43,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,44,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,45,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,46,Qg8xg7,False,,,0.0
openai/gpt-4.1-mini,47,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,48,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,49,Qxf7,True,d5f7,51 cp,0.525
openai/gpt-4.1-mini,50,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,51,Qxd8,False,,,0.0
openai/gpt-4.1-mini,52,Nxg4,True,h6g4,-6 cp,0.497
openai/gpt-4.1-mini,53,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,54,Qxf7,True,d5f7,53 cp,0.526
openai/gpt-4.1-mini,55,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,56,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,57,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,58,Qd8,False,,,0.0
openai/gpt-4.1-mini,59,Qxf7,True,d5f7,48 cp,0.524
openai/gpt-4.1-mini,60,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,61,Qxf7,True,d5f7,52 cp,0.526
openai/gpt-4.1-mini,62,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,63,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,64,Qxd7,True,d5d7,-559 cp,0.22
openai/gpt-4.1-mini,65,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,66,Qg8Q,False,,,0.0
openai/gpt-4.1-mini,67,Qg8R,False,,,0.0
openai/gpt-4.1-mini,68,Qxf7,True,d5f7,44 cp,0.522
openai/gpt-4.1-mini,69,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,70,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,71,Qh5,True,d5h5,-639 cp,0.18
openai/gpt-4.1-mini,72,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,73,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,74,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,75,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,76,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,77,Nh5,False,,,0.0
openai/gpt-4.1-mini,78,Qxd7,True,d5d7,-551 cp,0.224
openai/gpt-4.1-mini,79,Qxf7,True,d5f7,42 cp,0.521
openai/gpt-4.1-mini,80,Qg8,True,d5g8,Mate in 1,1.0
openai/gpt-4.1-mini,81,Qd8,False,,,0.0
openai/gpt-4.1-mini,82,Qg8Rxg8,False,,,0.0
openai/gpt-4.1-mini,83,Nhf7,True,h6f7,Mate in 3,0.98
openai/gpt-4.1-mini,84,Qg8,True,d5g8,Mate in 1,1.0
