Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,2,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,3,Qh5,True,d5h5,-690 cp,0.155
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,5,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,6,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,7,Qh5,True,d5h5,-686 cp,0.157
google/gemini-2.5-flash-lite,8,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,9,Qd3,True,d5d3,34 cp,0.517
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,11,Qd7,True,d5d7,-569 cp,0.216
google/gemini-2.5-flash-lite,12,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,14,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,16,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,17,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,18,Qh5,True,d5h5,-683 cp,0.158
google/gemini-2.5-flash-lite,19,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,20,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,21,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,22,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,24,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,25,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,26,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,27,Qd3,True,d5d3,28 cp,0.514
google/gemini-2.5-flash-lite,28,Qd3,True,d5d3,16 cp,0.508
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,30,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,31,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,32,Qh5,True,d5h5,-647 cp,0.176
google/gemini-2.5-flash-lite,33,Qh5,True,d5h5,-687 cp,0.156
google/gemini-2.5-flash-lite,34,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,35,Qd7,True,d5d7,-563 cp,0.219
google/gemini-2.5-flash-lite,36,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,37,Qh5,True,d5h5,-685 cp,0.157
google/gemini-2.5-flash-lite,38,Qd3,True,d5d3,8 cp,0.504
google/gemini-2.5-flash-lite,39,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,41,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,42,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,43,Qh5,True,d5h5,-678 cp,0.161
google/gemini-2.5-flash-lite,44,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,45,Qh5,True,d5h5,-683 cp,0.158
google/gemini-2.5-flash-lite,46,Qd3,True,d5d3,20 cp,0.51
google/gemini-2.5-flash-lite,47,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,48,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-683 cp,0.158
google/gemini-2.5-flash-lite,50,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,51,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,52,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,53,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,54,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,55,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,56,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,57,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,58,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,59,Qh5,True,d5h5,-658 cp,0.171
google/gemini-2.5-flash-lite,60,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,61,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,62,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,63,Qd3,True,d5d3,43 cp,0.521
google/gemini-2.5-flash-lite,64,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,65,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,66,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,67,Qd3,True,d5d3,30 cp,0.515
google/gemini-2.5-flash-lite,68,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,69,Qh5,True,d5h5,-678 cp,0.161
google/gemini-2.5-flash-lite,70,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,71,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,72,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,73,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,74,Qd3,True,d5d3,32 cp,0.516
google/gemini-2.5-flash-lite,75,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,76,Qd7,True,d5d7,-571 cp,0.215
google/gemini-2.5-flash-lite,77,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,78,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,79,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,80,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,81,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,82,Qh5,True,d5h5,-680 cp,0.16
google/gemini-2.5-flash-lite,83,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,84,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,85,Qd7,True,d5d7,-581 cp,0.21
google/gemini-2.5-flash-lite,86,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,87,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,88,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,89,Qh5,True,d5h5,-657 cp,0.171
google/gemini-2.5-flash-lite,90,Qh5,True,d5h5,-662 cp,0.169
google/gemini-2.5-flash-lite,91,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,92,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,93,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,94,Qd3,True,d5d3,32 cp,0.516
google/gemini-2.5-flash-lite,95,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,96,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,97,Qh5,True,d5h5,-681 cp,0.159
google/gemini-2.5-flash-lite,98,Qh5,True,d5h5,-684 cp,0.158
google/gemini-2.5-flash-lite,99,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,100,Qh5,True,d5h5,-669 cp,0.165
,,,,,,
=== Summary Statistics ===,,,,,,
Average Normalized Value,,,,,0.152,
Standard Deviation,,,,,0.135,
Mean Absolute Error (from 0.5),,,,,0.35,
Illegal Moves (%),,,,,27.00%,
Mean Value (Legal Moves Only),,,,,0.208,
