Model,Call#,Move,Legal,UCI,Eval,Normalized
google/gemini-2.5-flash-lite,1,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,2,Qd7,True,d5d7,-574 cp,0.213
google/gemini-2.5-flash-lite,3,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,4,Qh5,True,d5h5,-662 cp,0.169
google/gemini-2.5-flash-lite,5,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,6,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,7,Qd7,True,d5d7,-550 cp,0.225
google/gemini-2.5-flash-lite,8,Qh5,True,d5h5,-679 cp,0.16
google/gemini-2.5-flash-lite,9,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,10,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,11,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,12,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,13,Qh5,True,d5h5,-666 cp,0.167
google/gemini-2.5-flash-lite,14,Qd3,True,d5d3,57 cp,0.528
google/gemini-2.5-flash-lite,15,Qh5,True,d5h5,-662 cp,0.169
google/gemini-2.5-flash-lite,16,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,17,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,18,Qf7,True,d5f7,-20 cp,0.49
google/gemini-2.5-flash-lite,19,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,20,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,21,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,22,Qh5,True,d5h5,-652 cp,0.174
google/gemini-2.5-flash-lite,23,Qh5,True,d5h5,-677 cp,0.161
google/gemini-2.5-flash-lite,24,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,25,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,26,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,27,Qd3,True,d5d3,73 cp,0.536
google/gemini-2.5-flash-lite,28,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,29,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,30,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,31,Qg2,False,,,0.0
google/gemini-2.5-flash-lite,32,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,33,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,34,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,35,Qe4,False,,,0.0
google/gemini-2.5-flash-lite,36,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,37,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,38,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,39,Qh5,True,d5h5,-676 cp,0.162
google/gemini-2.5-flash-lite,40,Qh5,True,d5h5,-682 cp,0.159
google/gemini-2.5-flash-lite,41,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,42,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,43,Qd3,True,d5d3,56 cp,0.528
google/gemini-2.5-flash-lite,44,Qd3,True,d5d3,50 cp,0.525
google/gemini-2.5-flash-lite,45,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,46,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,47,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,48,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,49,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,50,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,51,Qh5,True,d5h5,-674 cp,0.163
google/gemini-2.5-flash-lite,52,Qh5,True,d5h5,-671 cp,0.164
google/gemini-2.5-flash-lite,53,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,54,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,55,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,56,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,57,Qd3,True,d5d3,49 cp,0.524
google/gemini-2.5-flash-lite,58,Qh5,True,d5h5,-662 cp,0.169
google/gemini-2.5-flash-lite,59,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,60,Qg2,False,,,0.0
google/gemini-2.5-flash-lite,61,Qd3,True,d5d3,68 cp,0.534
google/gemini-2.5-flash-lite,62,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,63,Qh5,True,d5h5,-661 cp,0.169
google/gemini-2.5-flash-lite,64,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,65,Qd3,True,d5d3,46 cp,0.523
google/gemini-2.5-flash-lite,66,Qd3,True,d5d3,49 cp,0.524
google/gemini-2.5-flash-lite,67,Qh5,True,d5h5,-659 cp,0.17
google/gemini-2.5-flash-lite,68,Qh5,True,d5h5,-672 cp,0.164
google/gemini-2.5-flash-lite,69,Qd3,True,d5d3,43 cp,0.521
google/gemini-2.5-flash-lite,70,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,71,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,72,Qh5,True,d5h5,-668 cp,0.166
google/gemini-2.5-flash-lite,73,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,74,Qh5,True,d5h5,-664 cp,0.168
google/gemini-2.5-flash-lite,75,Qd3,True,d5d3,52 cp,0.526
google/gemini-2.5-flash-lite,76,Qd3,True,d5d3,51 cp,0.525
google/gemini-2.5-flash-lite,77,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,78,Qh5,True,d5h5,-667 cp,0.166
google/gemini-2.5-flash-lite,79,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,80,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,81,Qh5,True,d5h5,-660 cp,0.17
google/gemini-2.5-flash-lite,82,Qd3,True,d5d3,47 cp,0.523
google/gemini-2.5-flash-lite,83,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,84,Qh5,True,d5h5,-669 cp,0.165
google/gemini-2.5-flash-lite,85,Qd3,True,d5d3,50 cp,0.525
google/gemini-2.5-flash-lite,86,Qd3,True,d5d3,52 cp,0.526
google/gemini-2.5-flash-lite,87,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,88,Qd3,True,d5d3,65 cp,0.532
google/gemini-2.5-flash-lite,89,Qh5,True,d5h5,-673 cp,0.163
google/gemini-2.5-flash-lite,90,Qd3,True,d5d3,48 cp,0.524
google/gemini-2.5-flash-lite,91,Qh5,True,d5h5,-670 cp,0.165
google/gemini-2.5-flash-lite,92,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,93,Qd5,False,,,0.0
google/gemini-2.5-flash-lite,94,Qe1,False,,,0.0
google/gemini-2.5-flash-lite,95,Qd3,True,d5d3,47 cp,0.523
google/gemini-2.5-flash-lite,96,Qd3,True,d5d3,64 cp,0.532
google/gemini-2.5-flash-lite,97,Qd3,True,d5d3,67 cp,0.533
google/gemini-2.5-flash-lite,98,Qh5,True,d5h5,-665 cp,0.167
google/gemini-2.5-flash-lite,99,Qh5,True,d5h5,-675 cp,0.162
google/gemini-2.5-flash-lite,100,Qd5,False,,,0.0
,,,,,,
=== Summary Statistics ===,,,,,,
Average Normalized Value,,,,,0.191,
Standard Deviation,,,,,0.182,
Mean Absolute Error (from 0.5),,,,,0.32,
Illegal Moves (%),,,,,29.00%,
Mean Value (Legal Moves Only),,,,,0.268,
