Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,Evxmg,O-O,True,e1g1,122 cp,0.549,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
2,Evxmg,O-O,True,e1g1,122 cp,0.549,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
3,Evxmg,O-O,True,e1g1,109 cp,0.544,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
4,Evxmg,O-O,True,e1g1,136 cp,0.554,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
5,Evxmg,O-O,True,e1g1,144 cp,0.558,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
6,Evxmg,O-O,True,e1g1,134 cp,0.554,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
7,Evxmg,O-O,True,e1g1,138 cp,0.555,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
8,Evxmg,Nbxd4,True,b3d4,-468 cp,0.313,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
9,Evxmg,O-O,True,e1g1,140 cp,0.556,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
10,Evxmg,O-O,True,e1g1,131 cp,0.552,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
11,Evxmg,O-O,True,e1g1,135 cp,0.554,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
12,Evxmg,O-O,True,e1g1,141 cp,0.556,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
13,Evxmg,O-O,True,e1g1,129 cp,0.552,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
14,Evxmg,O-O,True,e1g1,138 cp,0.555,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
15,Evxmg,Qd5,True,d3d5,-684 cp,0.226,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
16,Evxmg,O-O,True,e1g1,138 cp,0.555,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
17,Evxmg,O-O-O,False,,,0.0,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
18,Evxmg,SE,False,,,0.0,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
19,Evxmg,Qd8,False,,,0.0,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
20,Evxmg,O-O,True,e1g1,126 cp,0.55,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
21,Evxmg,SE,False,,,0.0,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
22,Evxmg,O-O,True,e1g1,135 cp,0.554,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
23,Evxmg,O-O,True,e1g1,141 cp,0.556,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
24,Evxmg,O-O,True,e1g1,129 cp,0.552,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
25,Evxmg,O-O,True,e1g1,126 cp,0.55,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
26,Evxmg,O-O,True,e1g1,131 cp,0.552,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
27,Evxmg,O-O,True,e1g1,149 cp,0.56,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
28,Evxmg,O-O,True,e1g1,147 cp,0.559,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
29,Evxmg,O-O,True,e1g1,153 cp,0.561,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
30,Evxmg,Qd8,False,,,0.0,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
31,Evxmg,O-O-O,False,,,0.0,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
32,Evxmg,O-O,True,e1g1,139 cp,0.556,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
33,Evxmg,O-O,True,e1g1,142 cp,0.557,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
34,Evxmg,O-O,True,e1g1,147 cp,0.559,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
35,Evxmg,O-O,True,e1g1,131 cp,0.552,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
36,Evxmg,O-O,True,e1g1,140 cp,0.556,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
37,Evxmg,O-O,True,e1g1,133 cp,0.553,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
38,Evxmg,O-O,True,e1g1,143 cp,0.557,r1b1k2r/2ppnppp/1p6/p3P3/P7/1N1QPN2/1qP2PPP/R3K2R w KQkq - 0 14,0.7,1,1000
